[INFO ] [2023-08-24 14:44:01,026] OS name = Windows 11
[INFO ] [2023-08-24 14:44:01,027] 
[INFO ] [2023-08-24 14:46:11,273] OS name = Windows 11
[INFO ] [2023-08-24 14:46:11,273] 
[INFO ] [2023-08-24 14:46:55,287] OS name = Windows 11
[INFO ] [2023-08-24 14:46:55,287] 
[INFO ] [2023-08-24 14:48:05,698] OS name = Windows 11
[INFO ] [2023-08-24 14:48:05,699] 
[INFO ] [2023-08-24 14:50:33,258] OS name = Windows 11
[INFO ] [2023-08-24 14:50:33,259] 
[INFO ] [2023-08-24 14:51:26,698] OS name = Windows 11
[INFO ] [2023-08-24 14:51:26,699] 
[INFO ] [2023-08-24 14:51:54,111] OS name = Windows 11
[INFO ] [2023-08-24 14:51:54,112] 
[INFO ] [2023-08-24 14:52:42,278] OS name = Windows 11
[INFO ] [2023-08-24 14:52:42,279] 
[INFO ] [2023-08-24 14:54:51,439] OS name = Windows 11
[INFO ] [2023-08-24 14:54:51,439] Driver instance name = firefoxdriver: firefox on windows (69678638-98b5-419c-8d92-7a3deee7c24b)
[INFO ] [2023-08-24 14:57:33,176] OS name = Windows 11
[INFO ] [2023-08-24 14:57:33,178] 
[INFO ] [2023-08-24 15:03:39,472] OS name = Windows 11
[INFO ] [2023-08-24 15:03:39,472] 
[INFO ] [2023-08-24 19:07:21,378] OS name = Windows 11
[INFO ] [2023-08-24 19:07:21,378] Driver instance name = chromedriver: chrome on windows (ba15d02c95ed3a941efe1b15e0013014)
[INFO ] [2023-08-25 19:15:09,640] OS name = Windows 11
[INFO ] [2023-08-25 19:15:09,640] Driver instance name = chromedriver: chrome on windows (78820e246d08a6ff8e138b3df999bf2f)
[INFO ] [2023-08-25 19:15:51,632] OS name = Windows 11
[INFO ] [2023-08-25 19:15:51,632] Driver instance name = chromedriver: chrome on windows (d46d2e61382463f9460252176392054e)
[INFO ] [2023-08-27 20:11:22,905] OS name = Windows 11
[INFO ] [2023-08-27 20:11:22,905] Driver instance name = chromedriver: chrome on windows (b2e14af8f2c6e60cdb3e5eebe6c108c7)
[INFO ] [2023-08-27 20:43:33,868] OS name = Windows 11
[INFO ] [2023-08-27 20:43:33,870] Driver instance name = chromedriver: chrome on windows (550512012a256781abd70c2d9359b61a)
[INFO ] [2023-08-27 20:44:50,897] OS name = Windows 11
[INFO ] [2023-08-27 20:44:50,897] Driver instance name = chromedriver: chrome on windows (65216ce362c40d769c73ca7724dbc2d5)
[INFO ] [2023-08-27 20:47:49,565] OS name = Windows 11
[INFO ] [2023-08-27 20:47:49,566] Driver instance name = chromedriver: chrome on windows (e83d2bf8d88f69805139fdd6e5f83b93)
[INFO ] [2023-08-27 20:50:48,773] OS name = Windows 11
[INFO ] [2023-08-27 20:50:48,774] Driver instance name = chromedriver: chrome on windows (b5fd80b700835244a703574f945def42)
[INFO ] [2023-08-27 20:52:36,464] OS name = Windows 11
[INFO ] [2023-08-27 20:52:36,464] Driver instance name = chromedriver: chrome on windows (0356bdff2a3f4312841b1b025099b363)
